month,date,text,holiday
0,1,آغاز سال میلادی,0
2,16,تولد ریچارد استالمن مؤسس بنیاد نرم‌افزار آزاد و پروژهٔ گنو,0
2,22,روز جهانی آب,0
2,23,روز جهانی هواشناسی,0
4,1,روز جهانی کار و کارگر,0
4,5,روز جهانی ماما,0
4,8,روز جهانی صلیب سرخ و هلال احمر,0
4,18,روز جهانی موزه و میراث فرهنگی,0
4,31,روز جهانی بدون دخانیات,0
5,5,روز جهانی محیط زیست,0
5,10,روز جهانی صنایع دستی,0
5,17,روز جهانی بیابان‌زدایی,0
5,26,روز جهانی مبارزه با مواد مخدر,0
5,29,انتشار مجوز همگانی عمومی گنو نسخهٔ ۳ (GNU GPLv3) توسط بنیاد نرم‌افزار آزاد (۲۰۰۷ میلادی),0
7,1,روز جهانی شیر مادر,0
7,6,انفجار بمب اتمی آمریکا در هیروشیما با بیش از ۱۶۰ هزار کشته و مجروح (۱۹۴۵ میلادی),0
7,21,روز جهانی مسجد,0
8,27,روز جهانی جهانگردی,0
8,30,روز جهانی ناشنوایان – روز جهانی دریانوردی,0
9,1,روز جهانی سالمندان,0
9,8,روز جهانی کودک,0
9,9,روز جهانی پست,0
9,14,روز جهانی استاندارد,0
9,15,روز جهانی نابینایان (عصای سفید),0
9,16,روز جهانی غذا,0
10,10,روز جهانی علم در خدمت صلح و توسعه,0
11,1,روز جهانی مبارزه با ایدز,0
11,3,روز جهانی معلولان,0
11,7,روز جهانی هواپیمایی,0
11,25,‫ولادت حضرت عیسی مسیح (ع),0
