month,date,text,holiday
0,1,آغاز سال هجری قمری,0
0,9,تاسوعای حسینی,1
0,10,عاشورای حسینی,1
0,11,روز تجلیل از اسرا و مفقودان,0
0,12,شهادت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق),0
0,25,شهادت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق) به روایتی,0
1,3,ولادت امام محمد باقر(ع)(۵۷ ﻫ. ق) به روایتی,0
1,7,ولادت امام موسی کاظم(ع)(۱۲۸ ه‍‍.ق) – روز بزرگداشت سلمان فارسی,0
1,20,اربعین حسینی,1
1,27,روز وقف,0
1,28,رحلت حضرت رسول اکرم(ص)(۱۱ ه‍‍.ق) – شهادت امام حسن مجتبی(ع)(۵۰ ه‍‍.ق),1
1,30,شهادت امام رضا(ع)(۲۰۳ ه‍‍.ق),1
2,1,هجرت رسول اکرم(ص) از مکه به مدینه,0
2,8,شهادت امام حسن عسگری(ع)(۲۶۰ ه‍‍.ق),0
2,12,آغاز واجب شدن نماز، ورود پیامبر به مدینه,0
2,12,ولادت حضرت رسول اکرم(ص) به روایت اهل سنت(۵۳ سال قبل از هجرت). آغاز هفتهٔ وحدت,0
2,15,بنای مسجد قبا(اولین مسجد در اسلام),0
2,16,ورود اهل بیت اما حسین(ع) به شام,0
2,17,بنای مسجدالنبی در مدینه,1
2,17,ولادت حضرت رسول اکرم(ص)(۵۳ سال قبل از هجرت) و روز اخلاق و مهرورزی – ولادت امام جعفر صادق(ع) مؤسس مذهب جعفری(۸۳ ه‍‍.ق),1
2,23,ورود حضرت معصومه(س) به قم,0
2,26,صلح امام حسن(ع),0
3,3,سفر اما حسن(ع) به جرجان,0
3,4,ولادت شاه عبدالعظیم حسنی(ع),0
3,6,هلاکت هشام بن عبدالملک صادر کنندهٔ دستور شهادت امام باقر(ع),0
3,8,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ﻫ. ق) به روایتی,0
3,8,ولادت امام حسن عسگری(ع)(۲۳۲ ه‍‍.ق),0
3,10,وفات حضرت معصومه(س)(۲۰۱ ه‍‍.ق),0
4,5,ولادت حضرت زینب(س)(۵ ه‍‍.ق) و روز پرستار,0
4,10,وقوع جنگ جمل بین سپاهیان امام علی(ع) و ناکثین,0
4,13,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق) به روایتی,0
4,27,وفات حضرت عبدالمطلب(ع),0
5,3,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق),1
5,4,هلاکت هارون‌الرشید قاتل اما کاظم(ع),0
5,12,حرکت پیامبر به سمت خیبر,0
5,13,وفات ام‌البنین(س),0
5,13,‫سالروز وفات حضرت ام‌البنین (س) ـ روز تکریم مادران و همسران شهدا‬,0
5,19,ازدواج حضرت عبدالله(ع) و آمنه(س),0
5,20,ولادت حضرت فاطمهٔ زهرا(س)(سال هشتم قبل از هجرت) و روز زن – تولد امام خمینی(ره) رهبر کبیر انقلاب اسلامی(۱۳۲۰ ه‍‍.ق),0
5,21,ولادت حضرت ام‌کلثوم(س),0
6,1,ولادت امام محمد باقر(ع)(۵۷ ه‍‍.ق),0
6,3,شهادت امام علی النقی الهادی(ع)(۲۵۴ ه‍‍.ق),0
6,9,ولادت حضرت علی اصغر(ع),0
6,10,ولادت امام محمد تقی(ع)(۱۹۵ ه‍‍.ق),0
6,13,ولادت حضرت امام علی(ع)(۲۳ سال قبل از هجرت) – آغاز ایام‌البیض(اعتکاف),1
6,15,وفات حضرت زینب(س)(۶۲ ه‍‍.ق) – تغییر قبلهٔ مسلمین از از بیت‌المقدس به مکهٔ معظمه(۲ ه‍‍.ق),0
6,16,خروج فاطمه بنت اسد از کعبه,0
6,23,مجروح شدن اما حسن مجتبی(ع) در ستبتط مدائن، مسموم شدن امام موسی کاظم(ع) به دستور مأمون,0
6,24,فتح قلعهٔ خیبر توسط حضرت علی(ع)، بازگشت حعفر بن ابی‌طالب از حبشه,0
6,25,شهادت امام موسی کاظم(ع)(۱۸۳ ه‍‍.ق),0
6,26,وفات حضرت ابوطالب(ع),0
6,27,مبعث حضرت رسول اکرم(ص)(۱۳ سال قبل از هجرت),1
6,28,حرکت امام حسین(ع) از مدینه به مکه,0
6,30,هجرت مسلمانان به حبشه، غزوهٔ نخله,0
7,3,ولادت امام حسین(ع)(۴ ه‍‍.ق) و روز پاسدار,0
7,4,ولادت حضرت ابوالفضل العباس(ع)(۲۶ ه‍‍.ق) و روز جانباز,0
7,5,ولادت امام زین‌العابدین(ع)(۳۸ ه‍‍.ق),0
7,11,ولادت حضرت علی اکبر(ع)(۳۳ ه‍‍.ق) و روز جوان,0
7,15,روز سربازان گمنام امام زمان(عج),1
7,15,ولادت حضرت قائم(عج)(۲۵۵ ه‍‍.ق) و روز جهانی مستضعفان,1
8,10,وفات حضرت خدیجه(س)(۳ سال قبل از هجرت),0
8,15,ولادت امام حسن مجتبی(ع)(۳ ه‍‍.ق) و روز اکرام,0
8,18,شب قدر,0
8,19,ضربت خوردن حضرت علی(ع)(۵۴۰ ه‍‍.ق),0
8,20,شب قدر,0
8,21,شهادت حضرت علی(ع)(۵۴۰ ه‍‍.ق),1
8,22,شب قدر,0
9,1,عید سعید فطر,1
9,17,‫روز فرهنگ پهلوانی و ورزش زورخانه‌ای,0
9,21,فتح اندلس به دست مسلمانان(۹۲ ه‍‍.ق),0
9,25,شهادت امام جعفر صادق(ع)(۱۴۸ ه‍‍.ق),1
