month,date,text,holiday
0,1,آغاز عید نوروز,1
0,2,عید نوروز – هجوم مأموران ستم‌شاهی پهلوی به مدرسهٔ فیضیهٔ قم(۱۳۴۲ ه‍.ش) – آغاز عملیات فتح‌المبین(۱۳۶۱ ه‍.ش),1
0,3,عید نوروز,1
0,4,عید نوروز,1
0,10,همه‌پرسی تغییر نظام شاهنشاهی به جمهوری اسلامی ایران(۱۳۵۸ ه‍.ش),0
0,12,روز جمهوری اسلامی ایران,1
0,13,روز طبیعت,1
0,15,روز ذخایر ژنتیکی و زیستی,0
0,18,روز سلامتی(روز جهانی بهداشت),0
0,19,شهادت آیت‌الله سید محمد باقر صدر و خواهر ایشان بنت‌الهدی توسط رژیم بعث عراق(۱۳۵۹ ه‍.ش),0
0,20,روز ملی فناوری هسته‌ای – روز هنر انقلاب اسلامی (سالروز شهادت سید مرتضی آوینی – ۱۳۷۲ ه‍.ش),0
0,20,قطع مناسبات سیاسی ایران و آمریکا(۱۳۵۹ ه‍.ش),0
0,21,شهادت امیر سپهبد علی صیاد شیرازی(۱۳۷۸ ه‍.ش) – سالروز افتتاح حساب شمارهٔ ۱۰۰ به فرمان حضرت امام(ره) و تأسیس بنیاد مسکن انقلاب اسلامی(۱۳۵۸ ه‍.ش),0
0,25,روز بزرگداشت عطار نیشابوری,0
0,29,روز ارتش جمهوری اسلامی و نیروی زمینی,0
1,1,روز بزرگداشت سعدی,0
1,2,تأسیس سپاه پاسداران انقلاب اسلامی(۱۳۵۸ ه‍.ش) – سالروز اعلام انقلاب فرهنگی(۱۳۵۹ ه‍.ش),0
1,2,روز زمین پاک,0
1,3,روز بزرگداشت شیخ بهایی,0
1,5,شکست حملهٔ نظامی آمریکا به ایران در طبس(۱۳۵۹ ه‍.ش),0
1,9,روز شوراها,0
1,10,آغاز عملیات بیت المقدس(۱۳۶۱ ه‍.ش),0
1,10,روز ملی خلیج فارس,0
1,12,شهادت استاد مرتضی مطهری(۱۳۵۸ ه‍.ش) – روز معلم,0
1,15,روز بزرگداشت شیخ صدوق,0
1,18,روز بیماری‌های خاص و صعب‌العلاج,0
1,19,روز اسناد ملی و میراث مکتوب,0
1,19,روز بزرگداشت شیخ کلینی,0
1,24,لغو امتیاز تنباکو به فتوای آیت‌الله میرزا حسن شیرازی(۱۲۷۰ ه‍.ش),0
1,25,روز بزرگداشت فردوسی,0
1,27,روز ارتباطات و روابط عمومی,0
1,28,روز بزرگداشت حکیم عمر خیام,0
2,1,روز بهره‌وری و بهینه‌سازی مصرف – روز بزرگداشت ملاصدرا(صدرالمتألهین),0
2,3,فتح خرمشهر در عملیات بیت المقدس(۱۳۶۱ ه‍.ش) و روز مقاومت، ایثار و پیروزی,0
2,4,روز مقاومت و پایداری – روز دزفول,0
2,5,روز نسیم مهر(روز حمایت از خانوادهٔ زندانیان),0
2,7,افتتاح اولین دورهٔ مجلس شورای اسلامی(۱۳۵۹ ه‍.ش),0
2,14,رحلت امام خمینی رهبر کبیر انقلاب اسلامی(۱۳۶۸ ه‍.ش) – انتخاب آیت‌الله خامنه‌ای به رهبری(۱۳۶۸ ه‍.ش),1
2,15,زندانی شدن حضرت امام خمینی(ره) به دست مأموران ستم‌شاهی پهلوی(۱۳۴۲ ه‍.ش),1
2,15,قیام خونین ۱۵ خرداد(۱۳۴۲ ه‍.ش),1
2,20,روز صنایع دستی,0
2,20,شهادت آیت‌الله سعیدی به دست مأموران ستم‌شاهی پهلوی(۱۳۴۹ ه‍.ش),0
2,25,روز گل و گیاه,0
2,26,شهادت سربازان دلیر اسلام: بخارایی، امانی، صفار هندی و نیک‌نژاد(۱۳۴۴ ه‍.ش),0
2,27,روز جهاد کشاورزی(تشکیل جهاد سازندگی به فرمان امام خمینی، ۱۳۵۸ ه‍.ش),0
2,29,درگذشت دکتر علی شریعتی(۱۳۵۶ ه‍.ش),0
2,30,‫شهادت زائران حرم رضوی(ع) به دست ایادی آمریکا(عاشورای ۱۳۷۳ ه‍.ش)‬,0
2,31,شهادت دکتر مصطفی چمران(۱۳۶۰ ه‍.ش) – روز بسیج اساتید,0
3,1,‫روز تبلیغ و اطلاع‌رسانی دینی(سالروز صدور فرمان حضرت امام خمینی(ره) مبنی بر‬ تأسیس سازمان تبلیغات اسلامی ۱۳۶۰ ه‍.ش) – روز اصناف‬,0
3,7,شهادت مظلومانهٔ آیت‌الله دکتر بهشتی و ۷۲ تن از یاران امام خمینی(۱۳۶۰ ه‍.ش) – روز قوهٔ قضاییه,0
3,8,روز مبارزه با سلاح‌های شیمیایی و میکروبی,0
3,10,روز آزادسازی شهر مهران,0
3,10,روز صنعت و معدن,0
3,11,شهادت آیت‌الله صدوقی چهارمین شهید محراب به دست منافقان(۱۳۶۱ ه‍.ش),0
3,12,روز بزرگداشت علامه امینی(۱۳۴۹ ه‍.ش),0
3,12,‫حملهٔ ددمنشانهٔ ناوگان آمریکای جنایتکار به هواپیمای مسافربری جمهوری اسلامی ایران‫(۱۳۶۷ ه‍.ش),0
3,14,روز قلم,0
3,16,روز مالیات,0
3,18,‫روز ادبیات کودکان و نوجوانان‬,0
3,21,روز عفاف و حجاب,0
3,21,کشف توطعهٔ کودتای آمریکایی در پایگاه هوایی شهید نوژه(۱۳۵۹ ه‍.ش) – حمله به مسجد گوهرشاد و کشتار مردم توسط رضاخان(۱۳۱۴ ه‍.ش),0
3,23,گشایش نخستین مجلس خبرگان رهبری(۱۳۶۲ ه‍.ش),0
3,25,روز بهزیستی و تامین اجتماعی,0
3,26,سالروز تأسیس نهاد شورای نگهبان,0
3,27,اعلام پذیرش قطعنامهٔ ۵۹۸ شورای امنیت از سوی ایران(۱۳۶۷ ه‍.ش),0
4,5,سالروز عملیات افتخار آفرین مرصاد(۱۳۶۷ ه‍.ش),0
4,6,روز کارآفرینی و آموزش‌های فنی و حرفه‌ای,0
4,8,روز بزرگداشت شیخ شهاب‌الدین سهروردی(شیخ اشراق),0
4,9,روز اهدای خون,0
4,11,شهادت آیت‌الله شیخ فضل‌الله نوری(۱۲۸۸ ه‍.ش),0
4,14,صدور فرمان مشروطیت(۱۲۸۵ ه‍.ش) – روز حقوق بشر اسلامی و کرامت انسانی,0
4,16,تشکیل جهاد دانشگاهی(۱۳۵۹ ه‍.ش),0
4,17,روز خبرنگار,0
4,21,روز حمایت از صنایع کوچک,0
4,23,روز مقاومت اسلامی,0
4,26,آغاز بازگشت آزادگان به میهن اسلامی(۱۳۶۹ ه‍.ش),0
4,28,کودتای آمریکا برای بازگرداندن شاه(۱۳۳۲ ه‍.ش),0
4,28,گشایش مجلس خبرگان برای بررسی نهایی قانون اساسی جمهوری اسلامی ایران(۱۳۵۸ ه‍.ش),0
4,30,روز بزرگداشت علامه مجلسی,0
4,31,روز صنعت دفاعی,0
5,1,روز بزرگداشت ابوعلی سینا – روز پزشک,0
5,2,آغاز هفتهٔ دولت – ‫شهادت سید علی اندرزگو(۲ شهریور ۱۳۵۷ ه‍.ش و ۱۹ رمضان ۱۳۹۸ ه‍‍.ق),0
5,3,اشغال ایران توسط متفقین و فرار رضاخان(۱۳۲۰ ه‍.ش),0
5,4,روز کارمند,0
5,5,روز بزرگداشت محمد بن زکریای رازی – روز داروسازی,0
5,8,روز مبارزه با تروریسم(انفجار دفتر نخست وزیری به دست منافقان و شهادت مظلومانهٔ شهیدان رجایی و باهنر – ۱۳۶۰ ه‍.ش),0
5,10,روز بانکداری اسلامی(سالروز تصویب قانون عملیات بانکی بدون ربا، ۱۳۶۲ ه‍.ش),0
5,11,روز صنعت چاپ,0
5,12,روز بهورز,0
5,12,روز مبارزه با استعمار انگلیس(سالروز شهادت رئیسعلی دلواری),0
5,13,روز تعاون – روز بزرگداشت ابوریحان بیرونی,0
5,14,شهادت آیت‌الله قدوسی و سرتیپ وحید دستجردی(۱۳۶۰ ه‍.ش),0
5,17,قیام ۱۷ شهریور و کشتار جمعی از مردم به دست مأموران ستم‌شاهی پهلوی(۱۳۵۷ ه‍.ش),0
5,19,وفات آیت‌الله سید محمود طالقانی اولین امام جمعهٔ تهران(۱۳۵۸ ه‍.ش),0
5,20,شهادت دومین شهید محراب آیت‌الله مدنی به دست منافقان(۱۳۶۰ ه‍.ش),0
5,21,روز سینما,0
5,27,روز شعر و ادب فارسی – روز بزرگداشت استاد سید محمد حسین شهریار,0
5,30,روز گفت‌وگوی تمدن‌ها,0
5,31,آغاز جنگ تحمیلی(۱۳۵۹ ه‍.ش) – آغاز هفتهٔ دفاع مقدس,0
6,5,شکست حصر آبادان در عملیات ثامن‌الأئمه(ع)(۱۳۶۰ ه‍.ش),0
6,7,روز آتش نشانی و ایمنی-شهادت سرداران اسلام: فلاحی، فکوری، نامحو، کلاهدوز و جهان‌آرا(۱۳۶۰ ه‍.ش) – روز بزرگداشت شمس – روز بزرگداشت فرماندهان شهید دفاع مقدس,0
6,8,روز بزرگداشت مولوی,0
6,9,‫روز همبستگی و همدردی با کودکان و نوجوانان فلسطینی,0
6,13,هجرت امام خمینی از عراق به پاریس(۱۳۵۷ ه‍.ش) – روز نیروی انتظامی,0
6,14,روز دامپزشکی,0
6,15,روز روستا,0
6,20,روز اسکان معلولان و سالمندان,0
6,20,روز بزرگداشت حافظ,0
6,23,شهادت پنجمین شهید محراب آیت‌الله اشرفی اصفهانی به دست منافقان(۱۳۶۱ ه‍.ش),0
6,24,روز ملی پارالمپیک,0
6,24,روز پیوند اولیا و مربیان – ‫سالروز واقعه به آتش كشيدن مسجد جامع شهر كرمان توسط دژخيمان رژيم پهلوی(۱۳۵۷ ه‍.ش),0
6,26,روز تربیت بدنی و ورزش,0
6,29,روز صادرات,0
7,1,روز آمار و برنامه‌ریزی,0
7,1,شهادت مظلومانهٔ آیت‌الله حاج سید مصطفی خمینی(۱۳۵۶ ه‍.ش),0
7,4,اعتراض و افشاگری امام خمینی علیه پذیرش کاپیتولاسیون(۱۳۴۳ ه‍.ش),0
7,8,شهادت محمد حسین فهمیده(بسیجی ۱۳ ساله) – روز نوجوان و بسیج دانش‌آموزی,0
7,10,شهادت آیت‌الله قاضی طباطبایی اولین شهید محراب به دست منافقان(۱۳۵۸ ه‍.ش),0
7,13,تبعید امام خمینی(ره) از ایران به ترکیه(۱۳۴۳ ه‍.ش),0
7,13,تسخیر لانهٔ جاسوسی آمریکا به دست دانشجویان پیرو خط امام(۱۳۵۸ ه‍.ش) – روز ملی مبارزه با استکبار جهانی – روز دانش‌آموز,0
7,14,روز فرهنگ عمومی,0
7,18,روز کیفیت,0
7,24,روز کتاب، کتابخوانی و کتابدار – روز بزرگداشت آیت‌الله علامه سید محمد حسین طباطبایی(۱۳۶۰ ه‍.ش),0
7,26,سالروز آزادسازی سوسنگرد,0
8,5,روز بسیج مستضعفان(تشکیل بسیج مستضعفان به فرمان امام خمینی(ره) – ۱۳۵۸ ه‍.ش),0
8,7,روز نیروی دریایی,0
8,9,روز بزرگداشت شیخ مفید,0
8,10,شهادت آیت‌الله سید حسن مدرس(۱۳۱۶ ه‍.ش) و روز مجلس,0
8,11,شهادت میرزا کوچک خان جنگلی(۱۳۰۰ ه‍.ش),0
8,12,روز قانون اساسی جمهوری اسلامی ایران(تصویب قانون اساسی جمهوری اسلامی ایران، ۱۳۵۸ ه‍.ش),0
8,13,روز بیمه,0
8,16,روز دانشجو,0
8,18,معرفی عراق به عنوان مسئول و آغازگر جنگ از سوی سازمان ملل(۱۳۷۰ ه‍.ش),0
8,19,تشکیل شورای عالی انقلاب فرهنگی به فرمان امام خمینی(۱۳۶۳ ه‍.ش),0
8,20,شهادت آیت‌الله دستغیب سومین شهید محراب به دست منافقان(۱۳۶۰ ه‍.ش),0
8,25,روز تجلیل از شهید تندگویان,0
8,25,روز پژوهش,0
8,26,روز حمل و نقل و رانندگان,0
8,27,شهادت آیت‌الله دکتر محمد مفتح(۱۳۵۸ ه‍.ش) – روز وحدت حوزه و دانشگاه,0
8,30,شب یلدا,0
9,3,روز ثبت احوال,0
9,5,روز ایمنی در برابر زلزله و کاهش اثرات بلایای طبیعی,0
9,5,روز ملی ایمنی در برابر زلزله,0
9,7,سالروز تشکیل نهضت سوادآموزی به فرمان امام خمینی(ره)(۱۳۵۸ ه‍.ش),0
9,7,شهادت آیت‌الله حسین غفاری به دست مأموران ستم‌شاهی پهلوی(۱۳۵۳ ه‍.ش),0
9,9,روز بصیرت و میثاق امت با ولایت,0
9,13,ابلاغ پیام تاریخی امام خمینی به گورباچف رهبر شوروی سابق(۱۳۶۷ ه‍.ش),0
9,17,اجرای طرح استعماری حذف حجاب توسط رضاخان(۱۳۱۴ ه‍.ش),0
9,19,قیام خونین مردم قم(۱۳۵۶ ه‍.ش),0
9,20,شهادت میرزاتقی خان امیرکبیر(۱۲۳۰ ه‍.ش),0
9,22,تشکیل شورای انقلاب به فرمان امام خمینی(۱۳۵۷ ه‍.ش),0
9,26,فرار شاه معدوم(۱۳۵۷ ه‍.ش),0
9,27,شهادت نواب صفوی، طهماسبی، برادران واحدی و ذوالقدر از فداییان اسلام(۱۳۳۴ ه‍.ش),0
9,29,روز غزه,0
10,5,انتخابات اولین دورهٔ ریاست جمهوری(۱۳۵۸ ه‍.ش),0
10,6,سالروز حماسهٔ مردم آمل,0
10,12,بازگشت امام خمینی به ایران(۱۳۵۷ ه‍.ش) و آغاز دههٔ مبارک فجر انقلاب اسلامی,0
10,14,روز فناوری فضایی,0
10,19,روز نیروی هوایی,0
10,21,شکسته شدن حکومت نظامی به فرمان امام خمینی(۱۳۵۷ ه‍.ش),0
10,22,پیروزی انقلاب اسلامی ایران و سقوط نظام شاهنشاهی(۱۳۵۷ ه‍.ش),1
10,25,صدور حکم تاریخی امام خمینی مبنی بر ارتداد سلمان رشدی نویسندهٔ خائن کتاب آیات شیطانی(۱۳۶۷ ه‍.ش),0
10,29,قیام مردم تبریز به مناسبت چهلمین روز شهادت شهدای قم(۱۳۵۶ ه‍.ش),0
11,3,کودتای انگلیسی رضاخان(۱۲۹۹ ه‍.ش),0
11,5,روزبزرگداشت خواجه نصیرالدین طوسی – روز مهندسی,0
11,8,روز امور تربیتی و تربیت اسلامی,0
11,9,روز ملی حمایت از حقوق مصرف‌کنندگان,0
11,14,روز احسان و نیکوکاری,0
11,15,روز درختکاری,0
11,18,روز بزرگداشت سید جمال‌الدین اسدآبادی,0
11,20,روز راهیان نور,0
11,22,روز بزرگداشت شهدا(سال‌روز صدور فرمان امام خمینی مبنی بر تأسیس بنیاد شهید انقلاب اسلامی، ۱۳۵۸ ه‍.ش),0
11,24,برگزاری انتخابات اولین دورهٔ مجلس شورای اسلامی(۱۳۵۸ ه‍.ش),0
11,25,بمباران شیمیایی حلبچه توسط ارتش بعث عراق(۱۳۶۶ ه‍.ش),0
11,25,روز بزرگداشت پروین اعتصامی,0
11,29,روز ملی شدن صنعت نفت ایران(۱۳۲۹ ه‍.ش),1
